"Date(UTC)","UnixTimeStamp","Value (Wei)"
"8/29/2020","1598659200","1190148840"
"8/30/2020","1598745600","2276039533"
"8/31/2020","1598832000","1540230966"
"9/1/2020","1598918400","1391913319"
"9/2/2020","1599004800","17348896663"
"9/3/2020","1599091200","1316846314"
"9/4/2020","1599177600","1054096639"
"9/5/2020","1599264000","1007897612"
"9/6/2020","1599350400","1012040415"
"9/7/2020","1599436800","1038001253"
"9/8/2020","1599523200","1107790019"
"9/9/2020","1599609600","1000676351"
"9/10/2020","1599696000","1000116777"
"9/11/2020","1599782400","1027244582"
"9/12/2020","1599868800","1094564408"
"9/13/2020","1599955200","1000000000"
"9/14/2020","1600041600","1310978214"
"9/15/2020","1600128000","1000000000"
"9/16/2020","1600214400","1124000000"
"9/17/2020","1600300800","1003099814"
"9/18/2020","1600387200","1030183393"
"9/19/2020","1600473600","1056836200"
"9/20/2020","1600560000","1028807307"
"9/21/2020","1600646400","1000282008"
"9/22/2020","1600732800","1098487424"
"9/23/2020","1600819200","1005240332"
"9/24/2020","1600905600","1000000000"
"9/25/2020","1600992000","1002446619"
"9/26/2020","1601078400","1093909245"
"9/27/2020","1601164800","1012485277"
"9/28/2020","1601251200","1018597691"
"9/29/2020","1601337600","1000133262"
"9/30/2020","1601424000","1192111030"
"10/1/2020","1601510400","1048730606"
"10/2/2020","1601596800","1069422572"
"10/3/2020","1601683200","1027565084"
"10/4/2020","1601769600","1107383534"
"10/5/2020","1601856000","1059225041"
"10/6/2020","1601942400","1070518328"
"10/7/2020","1602028800","1581057753"
"10/8/2020","1602115200","1000564516"
"10/9/2020","1602201600","1000856842"
"10/10/2020","1602288000","1000693802"
"10/11/2020","1602374400","1000586068"
"10/12/2020","1602460800","1016262060"
"10/13/2020","1602547200","1089611072"
"10/14/2020","1602633600","1000451590"
"10/15/2020","1602720000","1057963026"
"10/16/2020","1602806400","1054966467"
"10/17/2020","1602892800","1004914005"
"10/18/2020","1602979200","1015247411"
"10/19/2020","1603065600","1048840852"
"10/20/2020","1603152000","1139915374"
"10/21/2020","1603238400","1175608953"
"10/22/2020","1603324800","1025312295"
"10/23/2020","1603411200","1026020217"
"10/24/2020","1603497600","1000000000"
"10/25/2020","1603584000","1005632227"
"10/26/2020","1603670400","1374520070"
"10/27/2020","1603756800","1026083940"
"10/28/2020","1603843200","1030359661"
"10/29/2020","1603929600","1019900674"
"10/30/2020","1604016000","1131244444"
"10/31/2020","1604102400","1000000000"
"11/1/2020","1604188800","1083382498"
"11/2/2020","1604275200","1057020057"
"11/3/2020","1604361600","1055788849"
"11/4/2020","1604448000","1134308943"
