"Date(UTC)","UnixTimeStamp","Value"
"8/29/2020","1598659200","0.03"
"8/30/2020","1598745600","0.04"
"8/31/2020","1598832000","0.04"
"9/1/2020","1598918400","0.04"
"9/2/2020","1599004800","0.06"
"9/3/2020","1599091200","0.04"
"9/4/2020","1599177600","0.05"
"9/5/2020","1599264000","0.03"
"9/6/2020","1599350400","0.03"
"9/7/2020","1599436800","0.03"
"9/8/2020","1599523200","0.03"
"9/9/2020","1599609600","0.03"
"9/10/2020","1599696000","0.03"
"9/11/2020","1599782400","0.03"
"9/12/2020","1599868800","0.03"
"9/13/2020","1599955200","0.03"
"9/14/2020","1600041600","0.03"
"9/15/2020","1600128000","0.03"
"9/16/2020","1600214400","0.03"
"9/17/2020","1600300800","0.03"
"9/18/2020","1600387200","0.04"
"9/19/2020","1600473600","0.04"
"9/20/2020","1600560000","0.03"
"9/21/2020","1600646400","0.04"
"9/22/2020","1600732800","0.04"
"9/23/2020","1600819200","0.04"
"9/24/2020","1600905600","0.04"
"9/25/2020","1600992000","0.04"
"9/26/2020","1601078400","0.04"
"9/27/2020","1601164800","0.04"
"9/28/2020","1601251200","0.04"
"9/29/2020","1601337600","0.04"
"9/30/2020","1601424000","0.04"
"10/1/2020","1601510400","0.04"
"10/2/2020","1601596800","0.03"
"10/3/2020","1601683200","0.03"
"10/4/2020","1601769600","0.03"
"10/5/2020","1601856000","0.03"
"10/6/2020","1601942400","0.03"
"10/7/2020","1602028800","0.03"
"10/8/2020","1602115200","0.03"
"10/9/2020","1602201600","0.03"
"10/10/2020","1602288000","0.03"
"10/11/2020","1602374400","0.03"
"10/12/2020","1602460800","0.03"
"10/13/2020","1602547200","0.03"
"10/14/2020","1602633600","0.03"
"10/15/2020","1602720000","0.03"
"10/16/2020","1602806400","0.03"
"10/17/2020","1602892800","0.03"
"10/18/2020","1602979200","0.03"
"10/19/2020","1603065600","0.02"
"10/20/2020","1603152000","0.02"
"10/21/2020","1603238400","0.02"
"10/22/2020","1603324800","0.03"
"10/23/2020","1603411200","0.02"
"10/24/2020","1603497600","0.03"
"10/25/2020","1603584000","0.02"
"10/26/2020","1603670400","0.02"
"10/27/2020","1603756800","0.02"
"10/28/2020","1603843200","0.02"
"10/29/2020","1603929600","0.02"
"10/30/2020","1604016000","0.02"
"10/31/2020","1604102400","0.02"
"11/1/2020","1604188800","0.02"
"11/2/2020","1604275200","0.02"
"11/3/2020","1604361600","0.02"
"11/4/2020","1604448000","0.01"
"11/5/2020","1604534400","0.01"
"11/6/2020","1604620800","0.02"
"11/7/2020","1604707200","0.02"
"11/8/2020","1604793600","0.02"
"11/9/2020","1604880000","0.02"
"11/10/2020","1604966400","0.02"
"11/11/2020","1605052800","0.02"
"11/12/2020","1605139200","0.02"
"11/13/2020","1605225600","0.02"
"11/14/2020","1605312000","0.02"
"11/15/2020","1605398400","0.02"
"11/16/2020","1605484800","0.02"
"11/17/2020","1605571200","0.02"
"11/18/2020","1605657600","0.02"
"11/19/2020","1605744000","0.02"
"11/20/2020","1605830400","0.02"
"11/21/2020","1605916800","0.02"
"11/22/2020","1606003200","0.02"
"11/23/2020","1606089600","0.02"
"11/24/2020","1606176000","0.02"
"11/25/2020","1606262400","0.02"
"11/26/2020","1606348800","0.02"
"11/27/2020","1606435200","0.02"
"11/28/2020","1606521600","0.02"
"11/29/2020","1606608000","0.02"
"11/30/2020","1606694400","0.02"
"12/1/2020","1606780800","0.02"
"12/2/2020","1606867200","0.02"
"12/3/2020","1606953600","0.02"
"12/4/2020","1607040000","0.02"
"12/5/2020","1607126400","0.02"
"12/6/2020","1607212800","0.02"
"12/7/2020","1607299200","0.02"
"12/8/2020","1607385600","0.02"
"12/9/2020","1607472000","0.02"
"12/10/2020","1607558400","0.02"
"12/11/2020","1607644800","0.02"
"12/12/2020","1607731200","0.02"
"12/13/2020","1607817600","0.02"
"12/14/2020","1607904000","0.02"
"12/15/2020","1607990400","0.02"
"12/16/2020","1608076800","0.02"
"12/17/2020","1608163200","0.02"
"12/18/2020","1608249600","0.02"
"12/19/2020","1608336000","0.02"
"12/20/2020","1608422400","0.02"
"12/21/2020","1608508800","0.02"
"12/22/2020","1608595200","0.02"
"12/23/2020","1608681600","0.02"
"12/24/2020","1608768000","0.02"
"12/25/2020","1608854400","0.02"
"12/26/2020","1608940800","0.02"
"12/27/2020","1609027200","0.02"
"12/28/2020","1609113600","0.02"
"12/29/2020","1609200000","0.02"
"12/30/2020","1609286400","0.02"
"12/31/2020","1609372800","0.02"
"1/1/2021","1609459200","0.02"
"1/2/2021","1609545600","0.02"
"1/3/2021","1609632000","0.02"
"1/4/2021","1609718400","0.02"
"1/5/2021","1609804800","0.02"
"1/6/2021","1609891200","0.02"
"1/7/2021","1609977600","0.02"
"1/8/2021","1610064000","0.03"
"1/9/2021","1610150400","0.03"
"1/10/2021","1610236800","0.03"
"1/11/2021","1610323200","0.02"
"1/12/2021","1610409600","0.02"
"1/13/2021","1610496000","0.02"
"1/14/2021","1610582400","0.02"
"1/15/2021","1610668800","0.00"
"1/16/2021","1610755200","0.03"
"1/17/2021","1610841600","0.03"
"1/18/2021","1610928000","0.03"
"1/19/2021","1611014400","0.03"
"1/20/2021","1611100800","0.03"
"1/21/2021","1611187200","0.03"
"1/22/2021","1611273600","0.03"
"1/23/2021","1611360000","0.04"
"1/24/2021","1611446400","0.06"
"1/25/2021","1611532800","0.05"
"1/26/2021","1611619200","0.07"
"1/27/2021","1611705600","0.08"
"1/28/2021","1611792000","0.12"
"1/29/2021","1611878400","0.13"
"1/30/2021","1611964800","0.13"
"1/31/2021","1612051200","0.13"
"2/1/2021","1612137600","0.11"
"2/2/2021","1612224000","0.13"
"2/3/2021","1612310400","0.13"
"2/4/2021","1612396800","0.13"
"2/5/2021","1612483200","0.16"
"2/6/2021","1612569600","0.14"
"2/7/2021","1612656000","0.13"
"2/8/2021","1612742400","0.14"
"2/9/2021","1612828800","0.15"
"2/10/2021","1612915200","0.14"
"2/11/2021","1613001600","0.18"
"2/12/2021","1613088000","0.18"
"2/13/2021","1613174400","0.18"
"2/14/2021","1613260800","0.17"
"2/15/2021","1613347200","0.17"
"2/16/2021","1613433600","0.17"
"2/17/2021","1613520000","0.17"
"2/18/2021","1613606400","0.21"
"2/19/2021","1613692800","0.24"
"2/20/2021","1613779200","0.23"
"2/21/2021","1613865600","0.34"
"2/22/2021","1613952000","0.45"
"2/23/2021","1614038400","0.44"
"2/24/2021","1614124800","0.65"
"2/25/2021","1614211200","0.59"
"2/26/2021","1614297600","0.52"
"2/27/2021","1614384000","0.47"
"2/28/2021","1614470400","0.42"
"3/1/2021","1614556800","0.58"
"3/2/2021","1614643200","0.51"
"3/3/2021","1614729600","0.52"
"3/4/2021","1614816000","0.46"
"3/5/2021","1614902400","0.46"
"3/6/2021","1614988800","0.44"
"3/7/2021","1615075200","0.45"
"3/8/2021","1615161600","0.45"
"3/9/2021","1615248000","0.53"
"3/10/2021","1615334400","0.46"
"3/11/2021","1615420800","0.44"
"3/12/2021","1615507200","0.39"
"3/13/2021","1615593600","0.40"
"3/14/2021","1615680000","0.39"
"3/15/2021","1615766400","0.37"
"3/16/2021","1615852800","0.38"
"3/17/2021","1615939200","0.43"
"3/18/2021","1616025600","0.40"
"3/19/2021","1616112000","0.41"
"3/20/2021","1616198400","0.43"
"3/21/2021","1616284800","0.42"
"3/22/2021","1616371200","0.39"
"3/23/2021","1616457600","0.38"
"3/24/2021","1616544000","0.34"
"3/25/2021","1616630400","0.32"
"3/26/2021","1616716800","0.37"
"3/27/2021","1616803200","0.36"
"3/28/2021","1616889600","0.39"
"3/29/2021","1616976000","0.43"
"3/30/2021","1617062400","0.43"
"3/31/2021","1617148800","0.42"
"4/1/2021","1617235200","0.44"
"4/2/2021","1617321600","0.42"
"4/3/2021","1617408000","0.39"
"4/4/2021","1617494400","0.41"
"4/5/2021","1617580800","0.48"
"4/6/2021","1617667200","0.46"
"4/7/2021","1617753600","0.41"
"4/8/2021","1617840000","0.44"
"4/9/2021","1617926400","0.45"
"4/10/2021","1618012800","0.44"
"4/11/2021","1618099200","0.46"
"4/12/2021","1618185600","0.43"
"4/13/2021","1618272000","0.42"
"4/14/2021","1618358400","0.42"
"4/15/2021","1618444800","0.45"
"4/16/2021","1618531200","0.45"
"4/17/2021","1618617600","0.50"
"4/18/2021","1618704000","0.42"
"4/19/2021","1618790400","0.40"
"4/20/2021","1618876800","0.40"
"4/21/2021","1618963200","0.37"
"4/22/2021","1619049600","0.33"
"4/23/2021","1619136000","0.32"
"4/24/2021","1619222400","0.28"
"4/25/2021","1619308800","0.31"
"4/26/2021","1619395200","0.38"
"4/27/2021","1619481600","0.53"
"4/28/2021","1619568000","0.59"
"4/29/2021","1619654400","0.58"
"4/30/2021","1619740800","0.74"
"5/1/2021","1619827200","0.81"
"5/2/2021","1619913600","0.76"
"5/3/2021","1620000000","0.71"
"5/4/2021","1620086400","0.65"
"5/5/2021","1620172800","0.78"
"5/6/2021","1620259200","0.73"
"5/7/2021","1620345600","0.78"
"5/8/2021","1620432000","0.82"
"5/9/2021","1620518400","0.91"
"5/10/2021","1620604800","0.77"
"5/11/2021","1620691200","0.79"
"5/12/2021","1620777600","0.60"
"5/13/2021","1620864000","0.62"
"5/14/2021","1620950400","0.69"
"5/15/2021","1621036800","0.62"
"5/16/2021","1621123200","0.63"
"5/17/2021","1621209600","0.58"
"5/18/2021","1621296000","0.68"
"5/19/2021","1621382400","0.40"
"5/20/2021","1621468800","0.45"
"5/21/2021","1621555200","0.35"
"5/22/2021","1621641600","0.29"
"5/23/2021","1621728000","0.25"
"5/24/2021","1621814400","0.34"
"5/25/2021","1621900800","0.33"
"5/26/2021","1621987200","0.38"
"5/27/2021","1622073600","0.35"
"5/28/2021","1622160000","0.30"
"5/29/2021","1622246400","0.28"
"5/30/2021","1622332800","0.29"
"5/31/2021","1622419200","0.32"
"6/1/2021","1622505600","0.31"
"6/2/2021","1622592000","0.35"
"6/3/2021","1622678400","0.38"
"6/4/2021","1622764800","0.34"
"6/5/2021","1622851200","0.31"
"6/6/2021","1622937600","0.34"
"6/7/2021","1623024000","0.30"
"6/8/2021","1623110400","0.29"
"6/9/2021","1623196800","0.31"
"6/10/2021","1623283200","0.28"
"6/11/2021","1623369600","0.25"
"6/12/2021","1623456000","0.24"
"6/13/2021","1623542400","0.28"
"6/14/2021","1623628800","0.30"
"6/15/2021","1623715200","0.29"
"6/16/2021","1623801600","0.28"
"6/17/2021","1623888000","0.32"
"6/18/2021","1623974400","0.30"
"6/19/2021","1624060800","0.31"
"6/20/2021","1624147200","0.31"
"6/21/2021","1624233600","0.24"
"6/22/2021","1624320000","0.22"
"6/23/2021","1624406400","0.25"
"6/24/2021","1624492800","0.24"
"6/25/2021","1624579200","0.21"
"6/26/2021","1624665600","0.21"
"6/27/2021","1624752000","0.22"
"6/28/2021","1624838400","0.23"
"6/29/2021","1624924800","0.23"
"6/30/2021","1625011200","0.24"
"7/1/2021","1625097600","0.22"
"7/2/2021","1625184000","0.23"
"7/3/2021","1625270400","0.23"
"7/4/2021","1625356800","0.24"
"7/5/2021","1625443200","0.23"
"7/6/2021","1625529600","0.25"
"7/7/2021","1625616000","0.26"
"7/8/2021","1625702400","0.24"
"7/9/2021","1625788800","0.23"
"7/10/2021","1625875200","0.23"
"7/11/2021","1625961600","0.23"
"7/12/2021","1626048000","0.22"
"7/13/2021","1626134400","0.22"
"7/14/2021","1626220800","0.22"
"7/15/2021","1626307200","0.21"
"7/16/2021","1626393600","0.19"
"7/17/2021","1626480000","0.20"
"7/18/2021","1626566400","0.19"
"7/19/2021","1626652800","0.17"
"7/20/2021","1626739200","0.16"
"7/21/2021","1626825600","0.18"
"7/22/2021","1626912000","0.19"
"7/23/2021","1626998400","0.19"
"7/24/2021","1627084800","0.19"
"7/25/2021","1627171200","0.20"
"7/26/2021","1627257600","0.21"
"7/27/2021","1627344000","0.22"
"7/28/2021","1627430400","0.23"
"7/29/2021","1627516800","0.25"
"7/30/2021","1627603200","0.25"
"7/31/2021","1627689600","0.26"
"8/1/2021","1627776000","0.25"
"8/2/2021","1627862400","0.25"
"8/3/2021","1627948800","0.24"
"8/4/2021","1628035200","0.25"
"8/5/2021","1628121600","0.26"
"8/6/2021","1628208000","0.28"
"8/7/2021","1628294400","0.29"
"8/8/2021","1628380800","0.27"
